d_model,ffw_size,kv_size,n_heads,n_layers,Vocab Size,Embedding Parameters,KQV Params Per Layer,Output Proj Params Per Layer,Total Attn Params,FFN Params Per Layer,Total FFN Params,Gated Params Per Layer,Total Gated Params,Reported Parameters (M),"Tied (Un)Embed, No Gating","Untied (Un)Embed, No Gating","Untied (Un)Embed, Gating","Untied (Un)Embed, Gating, Shared KV","Tied (Un)Embed, No Gating, Best Fit Attn Params Prefactor",Relative Error (%)
512,2048,64,8,8,32168,16470016,786432,262144,8388608,2097152,16777216,3145728,25165824,44,42,58,66,64.397312,44,5.373090909
576,2304,64,9,9,32168,18528768,995328,331776,11943936,2654208,23887872,3981312,35831808,57,54,73,85,81.847296,57,4.630568421
640,2560,64,10,10,32168,20587520,1228800,409600,16384000,3276800,32768000,4915200,49152000,74,70,90,107,102.61504,74,5.757405405
640,2560,64,10,13,32168,20587520,1228800,409600,21299200,3276800,42598400,4915200,63897600,90,84,105,126,121.04704,90,6.127644444
640,2560,64,10,16,32168,20587520,1228800,409600,26214400,3276800,52428800,4915200,78643200,106,99,120,146,139.47904,106,6.386113208
768,3072,64,12,12,32168,24705024,1769472,589824,28311552,4718592,56623104,7077888,84934656,117,110,134,163,155.578368,117,6.290871795
768,3072,64,12,15,32168,24705024,1769472,589824,35389440,4718592,70778880,7077888,106168320,140,131,156,191,182.120448,140,6.51904
768,3072,64,12,18,32168,24705024,1769472,589824,42467328,4718592,84934656,7077888,127401984,163,152,177,219,208.662528,163,6.682817178
896,3584,64,14,14,32168,28822528,2408448,802816,44957696,6422528,89915392,9633792,134873088,175,164,193,237,226.236416,175,6.459648
896,3584,64,14,16,32168,28822528,2408448,802816,51380224,6422528,102760448,9633792,154140672,196,183,212,263,250.320896,196,6.651428571
896,3584,64,14,18,32168,28822528,2408448,802816,57802752,6422528,115605504,9633792,173408256,217,202,231,289,274.405376,217,6.806090323
1024,4096,64,16,16,32168,32940032,3145728,1048576,67108864,8388608,134217728,12582912,201326592,251,234,267,334,317.538304,251,6.666683665
1024,4096,64,16,18,32168,32940032,3145728,1048576,75497472,8388608,150994944,12582912,226492416,278,259,292,368,348.995584,278,6.67897554
1024,4096,64,16,20,32168,32940032,3145728,1048576,83886080,8388608,167772160,12582912,251658240,306,285,318,401,380.452864,306,6.994028758
1280,5120,128,10,18,32168,41175040,4915200,1638400,117964800,13107200,235929600,19660800,353894400,425,395,436,554,524.71808,425,7.042484706
1280,5120,128,10,21,32168,41175040,4915200,1638400,137625600,13107200,275251200,19660800,412876800,489,454,495,633,598.44608,488,7.146862986
1408,5632,128,11,18,32168,45292544,5947392,1982464,142737408,15859712,285474816,23789568,428212224,509,474,519,662,625.850368,509,6.973522986
1280,5120,128,10,24,32168,41175040,4915200,1638400,157286400,13107200,314572800,19660800,471859200,552,513,554,711,672.17408,552,7.059014493
1408,5632,128,11,21,32168,45292544,5947392,1982464,166526976,15859712,333053952,23789568,499580928,587,545,590,757,715.061248,587,7.176580579
1536,6144,128,12,19,32168,49410048,7077888,2359296,179306496,18874368,358612992,28311552,537919488,632,587,637,816,771.219456,632,7.068111392
1408,5632,128,11,25,32168,45292544,5947392,1982464,198246400,15859712,396492800,23789568,594739200,664,640,685,884,834.009088,690,3.609677108
1536,6144,128,12,22,32168,49410048,7077888,2359296,207618048,18874368,415236096,28311552,622854144,724,672,722,929,877.387776,724,7.145829834
1536,6144,128,12,23,32168,49410048,7077888,2359296,217055232,18874368,434110464,28311552,651165696,816,701,750,967,912.777216,755,14.14512941
1792,7168,128,14,20,32168,57645056,9633792,3211264,256901120,25690112,513802240,38535168,770703360,893,828,886,1143,1078.669312,893,7.239819037
1792,7168,128,14,22,32168,57645056,9633792,3211264,282591232,25690112,565182464,38535168,847773696,1018,905,963,1246,1175.007232,976,11.05906169
1792,7168,128,14,26,32168,57645056,9633792,3211264,333971456,25690112,667942912,38535168,1001914368,1143,1060,1117,1451,1367.683072,1143,7.300137883
2048,8192,128,16,20,32168,65880064,12582912,4194304,335544320,33554432,671088640,50331648,1006632960,1266,1073,1138,1474,1390.051328,1156,15.28333144
